# Brain Inspired Replay
#
# The columns SE-CORe50-M and S-CORe50-M refer to the mini 32x32 CORe50 dataset.
# https://github.com/tachyonicClock/brain-inspired-replay
# van de Ven, G. M., Siegelmann, H. T., & Tolias, A. S. (2020). Brain-inspired 
# replay for continual learning with artificial neural networks. Nature 
# Communications, 11(1), 4069. https://doi.org/10.1038/s41467-020-17866-2.
#
,S-FMNIST,S-CIFAR10,S-CIFAR100,S-CORe50-M,SE-CIFAR100,SE-CORe50-M,SE-CORe50,S-CORe50
0,0.7399,0.4848,0.2163,0.1253,0.2175,0.0707,0.676,0.0579
1,0.7112,0.5331,0.2158,0.0984,0.1968,0.0495,0.6774,0.0436
2,0.7216,0.5681,0.2205,0.1133,0.2193,0.0701,0.663,0.0533
3,0.7224,0.5192,0.1958,0.1093,0.1902,0.0468,0.6662,0.0579
4,0.7224,0.4299,0.2132,0.1152,0.2328,0.0672,0.678,0.0558
5,0.732,0.5091,0.1987,0.1156,0.198,0.0651,0.698,0.0588
6,0.725,0.5518,0.2151,0.1094,0.2056,0.0648,0.6832,0.0554
7,0.7249,0.5536,0.2171,0.1065,0.2117,0.0645,0.7107,0.0706
8,0.7311,0.5326,0.2045,0.1109,0.2187,0.0438,0.6747,0.0504
9,0.7244,0.532,0.2277,0.1021,0.2117,0.0831,0.6591,0.0683
