# Generative Replay
# An additional column is added called SE-CORe50-M and S-CORe50-MINI, refering to the mini 32x32 CORe50 dataset
# https://github.com/tachyonicClock/brain-inspired-replay
#
# van de Ven, G. M., Siegelmann, H. T., & Tolias, A. S. (2020). Brain-inspired 
# replay for continual learning with artificial neural networks. Nature 
# Communications, 11(1), 4069. https://doi.org/10.1038/s41467-020-17866-2
#
,S-FMNIST,S-CIFAR10,S-CIFAR100,S-CORe50-M,SE-CIFAR100,SE-CORe50-M,S-CORe50,SE-CORe50
0,0.7924,0.1849,0.0685,0.0991,0.1306,0.0623,0.054,0.4948
1,0.7835,0.182,0.0712,0.0633,0.1326,0.0477,0.037,0.492
2,0.7455,0.1867,0.0645,0.0754,0.1314,0.0679,0.0482,0.5126
3,0.7691,0.2063,0.0621,0.0676,0.119,0.0497,0.0413,0.4821
4,0.7485,0.1784,0.0747,0.0796,0.1365,0.0692,0.0442,0.5235
5,0.746,0.205,0.076,0.0889,0.1334,0.0584,0.0561,0.5027
6,0.7465,0.1834,0.0613,0.072,0.1321,0.0644,0.0393,0.488
7,0.7666,0.1906,0.0751,0.0937,0.1385,0.0704,0.0469,0.551
8,0.7516,0.1767,0.0664,0.072,0.124,0.0451,0.0417,0.499
9,0.7877,0.1985,0.0717,0.0978,0.1304,0.0834,0.0612,0.4609
