# nohup python -u cli.py train -r 10 adam --lr 0.01 s-cifar100 --epochs 100 metrics -d icarl -m 1000 &> cifar100.log &
# nohup python -u cli.py train -r 10 adam --lr 0.01 s-cifar10 --epochs 50 metrics -d icarl -m 1000 &> cifar10.log &
# nohup python -u cli.py train -r 10 adam --lr 0.01 s-fmnist --epochs 20 metrics -d icarl -m 1000 &> fmnist.log &
# nohup python -u cli.py train -r 10 adam --lr 0.01 s-core50 --epochs 10 metrics -d icarl -m 1000 &> core50.log &
# nohup python -u cli.py train -r 10 adam --lr 0.005 s-cifar100 --epochs 100 metrics -d icarl -m 1000 --use-r50 &> se-cifar100.log &
,S-FMNIST,,S-CIFAR10,,S-CIFAR100,,S-CORe50,,SE-CIFAR100,,SE-CORe50
2022-12-05_12:28:06_fa3933b_-r_10_adam_--lr_0.01_s-fmnist_--epochs_20_metrics_-d_icarl_-m_1000,0.7432,2022-12-05_13:10:42_fa3933b_-r_10_adam_--lr_0.01_s-cifar10_--epochs_50_metrics_-d_icarl_-m_1000,0.6805,2022-12-05_11:25:55_fa3933b_-r_10_adam_--lr_0.01_s-cifar100_--epochs_100_metrics_-d_icarl_-m_1000,0.4065,2022-12-05_21:19:29_2a961d6_-r_10_adam_--lr_0.01_s-core50_--epochs_2_metrics_-d_icarl_-m_1000,0.1282,,,,
2022-12-05_12:16:59_fa3933b_-r_10_adam_--lr_0.01_s-fmnist_--epochs_20_metrics_-d_icarl_-m_1000,0.7141,2022-12-05_12:12:54_fa3933b_-r_10_adam_--lr_0.01_s-cifar10_--epochs_50_metrics_-d_icarl_-m_1000,0.6815,2022-12-05_16:51:56_fa3933b_-r_10_adam_--lr_0.01_s-cifar100_--epochs_100_metrics_-d_icarl_-m_1000,0.4066,2022-12-05_22:35:11_2a961d6_-r_10_adam_--lr_0.01_s-core50_--epochs_2_metrics_-d_icarl_-m_1000,0.1397,,,,
2022-12-05_13:01:17_fa3933b_-r_10_adam_--lr_0.01_s-fmnist_--epochs_20_metrics_-d_icarl_-m_1000,0.745,2022-12-05_16:19:28_fa3933b_-r_10_adam_--lr_0.01_s-cifar10_--epochs_50_metrics_-d_icarl_-m_1000,0.6745,2022-12-05_19:02:18_fa3933b_-r_10_adam_--lr_0.01_s-cifar100_--epochs_100_metrics_-d_icarl_-m_1000,0.4117,2022-12-05_20:41:38_2a961d6_-r_10_adam_--lr_0.01_s-core50_--epochs_2_metrics_-d_icarl_-m_1000,0.1655,,,,
2022-12-05_12:05:56_fa3933b_-r_10_adam_--lr_0.01_s-fmnist_--epochs_20_metrics_-d_icarl_-m_1000,0.7208,2022-12-05_15:50:32_fa3933b_-r_10_adam_--lr_0.01_s-cifar10_--epochs_50_metrics_-d_icarl_-m_1000,0.6432,2022-12-05_20:07:25_fa3933b_-r_10_adam_--lr_0.01_s-cifar100_--epochs_100_metrics_-d_icarl_-m_1000,0.4051,2022-12-05_19:25:58_2a961d6_-r_10_adam_--lr_0.01_s-core50_--epochs_2_metrics_-d_icarl_-m_1000,0.1380,,,,
2022-12-05_13:23:25_fa3933b_-r_10_adam_--lr_0.01_s-fmnist_--epochs_20_metrics_-d_icarl_-m_1000,0.7046,2022-12-05_15:21:38_fa3933b_-r_10_adam_--lr_0.01_s-cifar10_--epochs_50_metrics_-d_icarl_-m_1000,0.683,2022-12-05_15:46:42_fa3933b_-r_10_adam_--lr_0.01_s-cifar100_--epochs_100_metrics_-d_icarl_-m_1000,0.4101,2022-12-05_20:03:47_2a961d6_-r_10_adam_--lr_0.01_s-core50_--epochs_2_metrics_-d_icarl_-m_1000,0.1316,,,,
2022-12-05_12:39:10_fa3933b_-r_10_adam_--lr_0.01_s-fmnist_--epochs_20_metrics_-d_icarl_-m_1000,0.7187,2022-12-05_13:41:32_fa3933b_-r_10_adam_--lr_0.01_s-cifar10_--epochs_50_metrics_-d_icarl_-m_1000,0.6742,2022-12-05_17:57:07_fa3933b_-r_10_adam_--lr_0.01_s-cifar100_--epochs_100_metrics_-d_icarl_-m_1000,0.4098,2022-12-05_21:57:20_2a961d6_-r_10_adam_--lr_0.01_s-core50_--epochs_2_metrics_-d_icarl_-m_1000,0.1432,,,,
2022-12-05_11:43:52_fa3933b_-r_10_adam_--lr_0.01_s-fmnist_--epochs_20_metrics_-d_icarl_-m_1000,0.728,2022-12-05_14:24:22_fa3933b_-r_10_adam_--lr_0.01_s-cifar10_--epochs_50_metrics_-d_icarl_-m_1000,0.6812,2022-12-05_21:12:40_fa3933b_-r_10_adam_--lr_0.01_s-cifar100_--epochs_100_metrics_-d_icarl_-m_1000,0.4059,2022-12-05_23:12:59_2a961d6_-r_10_adam_--lr_0.01_s-core50_--epochs_2_metrics_-d_icarl_-m_1000,0.1336,,,,
2022-12-05_11:54:53_fa3933b_-r_10_adam_--lr_0.01_s-fmnist_--epochs_20_metrics_-d_icarl_-m_1000,0.7485,2022-12-05_11:42:21_fa3933b_-r_10_adam_--lr_0.01_s-cifar10_--epochs_50_metrics_-d_icarl_-m_1000,0.6687,2022-12-05_13:36:16_fa3933b_-r_10_adam_--lr_0.01_s-cifar100_--epochs_100_metrics_-d_icarl_-m_1000,0.4076,2022-12-05_18:10:13_2a961d6_-r_10_adam_--lr_0.01_s-core50_--epochs_2_metrics_-d_icarl_-m_1000,0.1464,,,,
2022-12-05_13:12:22_fa3933b_-r_10_adam_--lr_0.01_s-fmnist_--epochs_20_metrics_-d_icarl_-m_1000,0.7309,2022-12-05_12:41:48_fa3933b_-r_10_adam_--lr_0.01_s-cifar10_--epochs_50_metrics_-d_icarl_-m_1000,0.6732,2022-12-05_12:31:05_fa3933b_-r_10_adam_--lr_0.01_s-cifar100_--epochs_100_metrics_-d_icarl_-m_1000,0.4141,2022-12-05_23:50:49_2a961d6_-r_10_adam_--lr_0.01_s-core50_--epochs_2_metrics_-d_icarl_-m_1000,0.1026,,,,
2022-12-05_12:50:14_fa3933b_-r_10_adam_--lr_0.01_s-fmnist_--epochs_20_metrics_-d_icarl_-m_1000,0.7219,2022-12-05_16:48:25_fa3933b_-r_10_adam_--lr_0.01_s-cifar10_--epochs_50_metrics_-d_icarl_-m_1000,0.6656,2022-12-05_14:41:29_fa3933b_-r_10_adam_--lr_0.01_s-cifar100_--epochs_100_metrics_-d_icarl_-m_1000,0.4043,2022-12-05_18:48:08_2a961d6_-r_10_adam_--lr_0.01_s-core50_--epochs_2_metrics_-d_icarl_-m_1000,0.1469,,,,
