Run,S-FMNIST,S-CIFAR10,S-CIFAR100,S-CORe50-M,S-CORe50
0,0.8664000000000001,0.7379000000000001,0.4807,0.1548,0.153
1,0.8672,0.7502,0.4814,0.1354,0.1685
2,0.8778,0.7951999999999999,0.48100000000000004,0.1693,0.1747
3,0.8398,0.7565000000000001,0.4925,0.1548,0.1359
4,0.884,0.7251000000000001,0.473,0.16949999999999998,0.191
5,0.8603000000000001,0.7655,0.4869,0.1636,0.1839
6,0.8682,0.7704000000000001,0.48200000000000004,0.14880000000000002,0.1858
7,0.8573000000000001,0.7597,0.4864,0.1948,0.1961
8,0.8595,0.7441,0.4807,0.1573,0.1827
9,0.8695,0.7867000000000001,0.4828,0.1663,0.1666
