experiment_code,dataset,architecture,strategy,experiment_category,id,repo_hash,final_accuracy,Task Identification Accuracy,Accuracy given Bad Task Identification,Accuracy given Good Task Identification,batch_size,classifier_loss_weight,dataset_name,deep_generative_type,device,embedding_module,fixed_class_order,input_shape,is_image_data,latent_dims,learning_rate,lwf_alpha,n_experiences,name,network_architecture,prune_proportion,recon_loss_type,reconstruction_loss_weight,replay_buffer,retrain_epochs,si_lambda,task_inference_strategy,total_task_epochs,use_adam,use_classifier_loss,use_experience_replay,use_generative_replay_strategy,use_learning_without_forgetting,use_packnet,use_reconstruction_loss,use_synaptic_intelligence,use_vae_loss,loss,vae_loss_weight,vanilla_cnn_config,rectangular_mlp_config,use_generative_replay
"['0070', 'ml-23', 'eff0210e', 'EP', 'splitEmbeddedCORe50', 'AE', 'taskOracle']",splitEmbeddedCORe50,AE,taskOracle,EP,0070,eff0210e,0.5948145389556885,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[0.9742966294288635, 0.9468892812728882, 0.9506999254226685, 0.9347594976425171, 0.8986265659332275, 0.8657341003417969, 0.8492024540901184, 0.7431656122207642, 0.660625696182251, 0.5945876836776733]",64.0,1.0,CORe50_NC,AE,cuda,ResNet50,True,2048,False,512.0,0.0001,32.0,10.0,ml-23_eff0210e_EP_splitEmbeddedCORe50_AE_taskOracle,rectangular,0.5,mse,1.0,1000.0,3.0,1000.0,task_oracle,10.0,True,True,False,False,False,True,True,False,False,,,,,
"['0291', 'ml-22', 'ad06b17a', 'OS', 'splitFMNIST', 'AE', 'LwF']",splitFMNIST,AE,LwF,OS,0291,ad06b17a,0.19939999282360077,,,,64.0,1.0,FMNIST,AE,cuda,None,True,"[1, 32, 32]",True,64.0,0.01,4.0,5.0,ml-22_ad06b17a_OS_splitFMNIST_LwF_AE,vanilla_cnn,0.5,bce,1.0,1000.0,5.0,1000.0,,20.0,False,True,False,False,True,False,True,False,False,,,,,
"['0058', 'ml-24', 'dd88ddf', 'N', 'splitEmbeddedCIFAR100', 'VAE', 'cumulative']",splitEmbeddedCIFAR100,VAE,cumulative,N,0058,dd88ddf,0.31380000710487366,,,,64.0,1.0,CIFAR100,VAE,cuda,ResNet18,True,512,False,64.0,0.0001,,1.0,splitEmbeddedCIFAR100_VAE_cumulative,rectangular_network,0.7,mse,1.0,,5.0,,,20.0,,True,,,,False,True,,True,1.014315128326416,0.001,,,
"['0037', 'ml-25', '44424907', 'PL', 'splitCIFAR10', 'VAE', 'taskInference']",splitCIFAR10,VAE,taskInference,PL,0037,44424907,0.460999995470047,"[1.0, 1.0, 0.8880000114440918, 0.6520000100135803, 0.4959999918937683]","[nan, nan, 0.0, 0.0, 0.0]","[0.9729999899864197, 0.9269999861717224, 0.9254879951477051, 0.9250383377075195, 0.9294354915618896]",64.0,1.0,CIFAR10,VAE,cuda,None,True,"[3, 32, 32]",True,64.0,0.0001,32.0,5.0,ml-25_44424907_PL_splitCIFAR10_VAE_taskInference,residual,0.4,bce,1.0,1000.0,10.0,1000.0,task_reconstruction_loss,50.0,True,True,False,False,False,True,True,False,True,,0.001,,,
"['0104', 'ml-25', 'e2133f95', 'EP', 'splitEmbeddedCIFAR100', 'AE', 'taskOracle']",splitEmbeddedCIFAR100,AE,taskOracle,EP,0104,e2133f95,0.6290000081062317,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[0.523223340511322, 0.6062182784080505, 0.6699238419532776, 0.7029822468757629, 0.7312690615653992, 0.7201564908027649, 0.7192168235778809, 0.7223032712936401, 0.6990411877632141, 0.6291370391845703]",64.0,1.0,CIFAR100,AE,cuda,ResNet50,False,2048,False,512.0,0.0001,32.0,10.0,ml-25_e2133f95_EP_splitEmbeddedCIFAR100_AE_taskOracle,rectangular,"[0.9090909090909091, 0.8181818181818181, 0.7272727272727272, 0.6363636363636362, 0.5454545454545453, 0.45454545454545436, 0.3636363636363634, 0.2727272727272725, 0.18181818181818155, 0.0909090909090906]",mse,1.0,1000.0,30.0,1000.0,task_oracle,100.0,True,True,False,False,False,True,True,False,False,,,,,
"['0083', 'ml-24', 'dd88ddf', 'N', 'splitEmbeddedCIFAR100', 'AE', 'taskInference']",splitEmbeddedCIFAR100,AE,taskInference,N,0083,dd88ddf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"['0046', 'ml-24', 'dd88ddf', 'N', 'splitCORe50', 'VAE', 'taskInference']",splitCORe50,VAE,taskInference,N,0046,dd88ddf,0.05309970676898956,"[1.0, 0.6847959160804749, 0.38425618410110474, 0.2677489221096039, 0.24262908101081848, 0.230629563331604, 0.17198120057582855, 0.14153513312339783, 0.1579376459121704, 0.10897891968488693]","[nan, 0.0, 0.02106657065451145, 0.0016703363507986069, 0.0, 0.00019265039009042084, 3.835679672192782e-05, 0.009905797429382801, 0.015784069895744324, 0.016470763832330704]","[0.8025789260864258, 0.5561149716377258, 0.6608796119689941, 0.7306893467903137, 0.6799853444099426, 0.622107982635498, 0.6373037695884705, 0.4680934548377991, 0.32207101583480835, 0.35258111357688904]",64.0,1.0,CORe50_NC,VAE,cuda,,True,"[3, 128, 128]",True,526.0,0.0001,,10.0,splitCORe50_VAE_taskInference,residual_network,0.5,,1.0,,1.0,,task_reconstruction_loss,4.0,,True,,,,True,True,,True,1.8032320737838745,0.001,{'base_channels': 128},,
"['0292', 'ml-22', 'ad06b17a', 'OS', 'splitFMNIST', 'AE', 'LwF']",splitFMNIST,AE,LwF,OS,0292,ad06b17a,0.19930000603199005,,,,64.0,1.0,FMNIST,AE,cuda,None,True,"[1, 32, 32]",True,64.0,0.01,8.0,5.0,ml-22_ad06b17a_OS_splitFMNIST_LwF_AE,vanilla_cnn,0.5,bce,1.0,1000.0,5.0,1000.0,,20.0,False,True,False,False,True,False,True,False,False,,,,,
"['0041', 'ml-23', 'eff0210e', 'EP', 'splitFMNIST', 'AE', 'cumulative']",splitFMNIST,AE,cumulative,EP,0041,eff0210e,0.9023000001907349,,,,64.0,1.0,FMNIST,AE,cuda,None,True,"[1, 32, 32]",True,64.0,0.0001,32.0,1.0,ml-23_eff0210e_EP_splitFMNIST_AE_cumulative,vanilla_cnn,0.5,bce,1.0,1000.0,5.0,1000.0,,20.0,True,True,False,False,False,False,True,False,False,,,,,
"['0220', 'ml-22', '6d14d70a', 'OS', 'splitCORe50', 'AE', 'LwF']",splitCORe50,AE,LwF,OS,0220,6d14d70a,0.05138752982020378,,,,64.0,1.0,CORe50_NC,AE,cuda,None,True,"[3, 128, 128]",True,526.0,0.0001,32.0,10.0,ml-22_6d14d70a_OS_splitCORe50_AE_LwF,residual,0.5,bce,1.0,1000.0,1.0,1000.0,,5.0,,True,False,False,True,False,True,False,False,,,,,
