,experiment_code,dataset,architecture,strategy,experiment_category,id,repo_hash,final_accuracy,accuracy,Task Identification Accuracy,Accuracy given Bad Task Identification,Accuracy given Good Task Identification,completed_tasks,batch_size,classifier_loss_weight,dataset_name,deep_generative_type,device,embedding_module,fixed_class_order,input_shape,is_image_data,latent_dims,learning_rate,lwf_alpha,n_classes,n_experiences,name,network_architecture,network_cfg,prune_proportion,recon_loss_type,reconstruction_loss_weight,replay_buffer,retrain_epochs,si_lambda,task_inference_strategy,total_task_epochs,use_adam,use_classifier_loss,use_experience_replay,use_generative_replay,use_learning_without_forgetting,use_packnet,use_reconstruction_loss,use_synaptic_intelligence,use_vae_loss,vae_loss_weight,tensorboard_dir,dataset_root,normalize,reconstruction_loss_type,pretrained_root,log_mini_batch,network_style,scenario_name,label,normalization_mean,normalization_std,cumulative
0,0125_ml-22_0a229afaD_PL_SE-CORe50_VAE_taskInference,SE-CORe50,VAE,taskInference,PL,0125,0a229afaD,0.24188384413719177,"[0.6688196063041687, 0.5691074728965759, 0.5163873434066772, 0.4676083028316498, 0.42431387305259705, 0.3632185757160187, 0.3277740776538849, 0.30305472016334534, 0.26958712935447693, 0.24188384413719177]","[1.0, 0.8148230314254761, 0.751297652721405, 0.6640160083770752, 0.5832036137580872, 0.499499648809433, 0.4475046992301941, 0.42079663276672363, 0.3855162560939789, 0.3327181339263916]","[nan, 0.0, 0.0014907573349773884, 0.0003310162283014506, 0.00021344717242754996, 0.00029620854184031487, 0.0005174793186597526, 0.0002879355160985142, 0.00032167270546779037, 0.000366556691005826]","[0.6688196063041687, 0.6984430551528931, 0.6868337988853455, 0.7040448784828186, 0.7274044752120972, 0.7268679738044739, 0.7318094968795776, 0.7197965383529663, 0.6987758874893188, 0.7262580990791321]",10.0,64.0,1.0,CORe50_NC,VAE,cuda,ResNet50,,[2048],False,512.0,0.0001,32.0,50.0,10.0,ml-22_0a229afaD_PL_SE-CORe50_VAE_taskInference,mlp,{'width': 512},0.6,mse,1.0,1000.0,3.0,1000.0,task_reconstruction_loss,10.0,True,True,False,False,False,True,True,False,True,0.001,,,,,,,,,,,,
1,0243_ml-24_0a229afa_OS_SE-CORe50_AE_replay,SE-CORe50,AE,replay,OS,0243,0a229afa,0.09121230989694595,"[0.7244216799736023, 0.47052934765815735, 0.3199673891067505, 0.2755669057369232, 0.17554467916488647, 0.19653843343257904, 0.154801607131958, 0.11209939420223236, 0.10359225422143936, 0.09121230989694595]",,,,10.0,32.0,1.0,CORe50_NC,AE,cuda,ResNet50,,[2048],False,512.0,0.0001,32.0,50.0,10.0,ml-24_0a229afa_OS_SE-CORe50_AE_replay,mlp,{'width': 512},0.5,mse,1.0,100.0,3.0,1000.0,,10.0,True,True,True,False,False,False,True,False,False,,,,,,,,,,,,,
2,0011_ml-21_54dcf601_PL_S-FMNIST_AE_taskInference,S-FMNIST,AE,taskInference,PL,0011,54dcf601,0.49140000343322754,"[0.9944999814033508, 0.9800000190734863, 0.8190000057220459, 0.6142500042915344, 0.49140000343322754]","[1.0, 1.0, 1.0, 0.75, 0.6000000238418579]","[nan, nan, nan, 0.0, 0.0]","[0.9944999814033508, 0.9800000190734863, 0.8190000057220459, 0.8190000057220459, 0.8190000057220459]",5.0,64.0,1.0,FMNIST,AE,cuda,None,,"[1, 32, 32]",True,64.0,0.0001,32.0,10.0,5.0,ml-21_54dcf601_PL_S-FMNIST_AE_taskInference,vanilla_cnn,{'base_channels': 128},0.2,bce,1.0,1000.0,5.0,1000.0,task_reconstruction_loss,20.0,True,True,False,False,False,True,True,False,False,,,,,,,,,,,,,
3,0187_ml-24_0a229afa_OS_S-CIFAR10_AE_replay,S-CIFAR10,AE,replay,OS,0187,0a229afa,0.8294000029563904,"[0.9794999957084656, 0.9647499918937683, 0.8964999914169312, 0.8268749713897705, 0.8294000029563904]",,,,5.0,32.0,1.0,CIFAR10,AE,cuda,None,,"[3, 32, 32]",True,128.0,0.0001,32.0,10.0,5.0,ml-24_0a229afa_OS_S-CIFAR10_AE_replay,residual,{},0.5,bce,1.0,10000.0,10.0,1000.0,,50.0,True,True,True,False,False,False,True,False,False,,,,,,,,,,,,,
4,0110_ml-16_e2839908_BTO_S-FMNIST_VAE_taskOracle,S-FMNIST,VAE,taskOracle,BTO,0110,e2839908,0.9750999808311462,"[1.0, 0.999750018119812, 0.9990000128746033, 0.9975000023841858, 0.9750999808311462]","[1.0, 1.0, 1.0, 1.0, 1.0]","[nan, nan, nan, nan, nan]","[1.0, 0.9997484683990479, 0.998993992805481, 0.9974849224090576, 0.9753269553184509]",5.0,64.0,1.0,FMNIST,,cuda,None,,"[1, 32, 32]",True,64.0,0.0001,,10.0,5.0,ml-16_e2839908_BTO_S-FMNIST_VAE_taskOracle,,{'base_channels': 128},0.6,,1.0,,5.0,,task_oracle,20.0,,,,,,True,,,,0.001,experiment_logs,/Scratch/al183/datasets,False,bce,pretrained,False,vanilla_cnn,S-FMNIST,BTO,,,
5,0051_ml-17_84260321_prunelevels_SE-CORe50_VAE_taskInference,SE-CORe50,VAE,taskInference,prunelevels,0051,84260321,0.23432357609272003,"[0.9557777643203735, 0.931881308555603, 0.7843965291976929, 0.5851028561592102, 0.46758559346199036, 0.3861716389656067, 0.33246514201164246, 0.2938576936721802, 0.25581222772598267, 0.23432357609272003]","[1.0, 0.9786642789840698, 0.9004223346710205, 0.7047248482704163, 0.5788350105285645, 0.48873573541641235, 0.40837913751602173, 0.36267369985580444, 0.3176528811454773, 0.2861780524253845]","[nan, 0.0052083334885537624, 0.0, 0.006588855292648077, 0.004539696034044027, 0.0036961878649890423, 0.00198647053912282, 0.003968426957726479, 0.003548410488292575, 0.004111893475055695]","[0.9557777643203735, 0.9520835876464844, 0.8711429238319397, 0.8274964690208435, 0.804501473903656, 0.7862774729728699, 0.811231255531311, 0.8032799363136292, 0.7976977229118347, 0.8085470199584961]",10.0,64.0,1.0,CORe50_NC,,cuda,ResNet18,,[512],False,512.0,0.0001,,50.0,10.0,ml-17_84260321_prunelevels_SE-CORe50_VAE_taskInference,,{'width': 512},0.2,,1.0,,2.0,,task_reconstruction_loss,10.0,,,,,,True,,,,0.001,experiment_logs,/Scratch/al183/datasets,True,mse,pretrained,False,mlp,SE-CORe50,prunelevels,,,
6,0054_ml-14_0a229afa_EP_SE-CORe50_VAE_taskInference,SE-CORe50,VAE,taskInference,EP,0054,0a229afa,0.31299474835395813,"[0.7075450420379639, 0.4355323314666748, 0.458954393863678, 0.3949621915817261, 0.36599794030189514, 0.37345245480537415, 0.3539091944694519, 0.3514843285083771, 0.33637216687202454, 0.31299474835395813]","[1.0, 0.6852819919586182, 0.6466444134712219, 0.5809608697891235, 0.5366753935813904, 0.5255393385887146, 0.4896591305732727, 0.4747331440448761, 0.44774681329727173, 0.4186382591724396]","[nan, 0.0024743725080043077, 0.001678908709436655, 0.0009288747096434236, 0.0007680491544306278, 0.0005468750023283064, 0.00031125498935580254, 5.2918454457540065e-05, 8.947344758780673e-05, 3.824823215836659e-05]","[0.7075450420379639, 0.6344155669212341, 0.7088302969932556, 0.6791730523109436, 0.6813095808029175, 0.7101142406463623, 0.722442090511322, 0.7403243780136108, 0.7511449456214905, 0.7475965619087219]",10.0,64.0,1.0,CORe50_NC,VAE,cuda,ResNet50,,[2048],False,512.0,0.0001,32.0,50.0,10.0,ml-14_0a229afa_EP_SE-CORe50_VAE_taskInference,mlp,{'width': 512},"[0.9, 0.8888888888888888, 0.875, 0.8571428571428571, 0.8333333333333334, 0.8, 0.75, 0.6666666666666666, 0.5, 0.0]",mse,1.0,1000.0,3.0,1000.0,task_reconstruction_loss,10.0,True,True,False,False,False,True,True,False,True,0.001,,,,,,,,,,,,
7,0087_ml-22_0a229afaD_PL_SE-CORe50_VAE_taskInference,SE-CORe50,VAE,taskInference,PL,0087,0a229afaD,0.11816240847110748,"[0.6642952561378479, 0.530478298664093, 0.3936383128166199, 0.29958298802375793, 0.2366887629032135, 0.19693824648857117, 0.16792680323123932, 0.146574005484581, 0.134661003947258, 0.11816240847110748]","[1.0, 0.7566184401512146, 0.5802624821662903, 0.46716707944869995, 0.3786308467388153, 0.3060271441936493, 0.25211259722709656, 0.22826963663101196, 0.21118304133415222, 0.1787334382534027]","[nan, 0.0, 0.00017664724146015942, 0.006887196097522974, 0.007659818045794964, 0.00555496197193861, 0.004120295867323875, 0.006663545034825802, 0.004667188506573439, 0.0047111064195632935]","[0.6642952561378479, 0.7011173367500305, 0.6782519817352295, 0.6334205865859985, 0.612546980381012, 0.6309350728988647, 0.6538558602333069, 0.6195811033248901, 0.6202176213264465, 0.6394625306129456]",10.0,64.0,1.0,CORe50_NC,VAE,cuda,ResNet50,,[2048],False,512.0,0.0001,32.0,50.0,10.0,ml-22_0a229afaD_PL_SE-CORe50_VAE_taskInference,mlp,{'width': 512},0.2,mse,1.0,1000.0,3.0,1000.0,task_reconstruction_loss,10.0,True,True,False,False,False,True,True,False,True,0.001,,,,,,,,,,,,
8,0079_ml-23_0a229afa_PL_SE-CORe50_AE_taskInference,SE-CORe50,AE,taskInference,PL,0079,0a229afa,0.2535504996776581,"[0.6885282397270203, 0.5759226083755493, 0.47439032793045044, 0.45508116483688354, 0.37504446506500244, 0.33913880586624146, 0.28976622223854065, 0.2535504996776581]","[1.0, 0.7723432779312134, 0.6336075663566589, 0.6042361855506897, 0.5045357346534729, 0.4536426365375519, 0.38940414786338806, 0.34073537588119507]","[nan, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.6885282397270203, 0.7456822395324707, 0.7487131357192993, 0.7531511783599854, 0.7433456778526306, 0.7475902438163757, 0.7441272139549255, 0.7441272139549255]",8.0,64.0,1.0,CORe50_NC,AE,cuda,ResNet50,,[2048],False,512.0,0.0001,32.0,50.0,10.0,ml-23_0a229afa_PL_SE-CORe50_AE_taskInference,mlp,{'width': 512},0.5,mse,1.0,1000.0,3.0,1000.0,task_reconstruction_loss,10.0,True,True,False,False,False,True,True,False,False,,,,,,,,,,,,,
9,0082_ml-16_84260321_prunelevels_SE-CORe50_AE_taskInference,SE-CORe50,AE,taskInference,prunelevels,0082,84260321,,,,,,,64.0,1.0,CORe50_NC,,cuda,ResNet18,,[512],False,512.0,0.0001,,50.0,10.0,ml-16_84260321_prunelevels_SE-CORe50_AE_taskInference,,{'width': 512},0.4,,1.0,,2.0,,task_reconstruction_loss,10.0,,,,,,True,,,False,,experiment_logs,/Scratch/al183/datasets,True,mse,pretrained,False,mlp,SE-CORe50,prunelevels,,,
10,0103_ml-14_0a229afa_EP_S-FMNIST_AE_taskInference,S-FMNIST,AE,taskInference,EP,0103,0a229afa,0.9462000131607056,"[0.987500011920929, 0.9465000033378601, 0.953166663646698, 0.934499979019165, 0.9462000131607056]","[1.0, 0.9520000219345093, 0.9679999947547913, 0.9760000109672546, 0.9807999730110168]","[nan, 0.0, 0.0, 0.0, 0.0]","[0.987500011920929, 0.9942227005958557, 0.9846763014793396, 0.9574795365333557, 0.9647226929664612]",5.0,64.0,1.0,FMNIST,AE,cuda,None,,"[1, 32, 32]",True,64.0,0.0001,32.0,10.0,5.0,ml-14_0a229afa_EP_S-FMNIST_AE_taskInference,vanilla_cnn,{'base_channels': 128},"[0.8, 0.75, 0.6666666666666666, 0.5, 0.0]",bce,1.0,1000.0,5.0,1000.0,task_reconstruction_loss,20.0,True,True,False,False,False,True,True,False,False,,,,,,,,,,,,,
