# "conda activate moacl
# cd /Scratch/al183/avalanche-cli
# python cli.py clean --incomplete
# nohup python -u cli.py train -r 10 adam --lr 0.01 s-cifar100 --epochs 100 metrics -d icarl -m 1000 &> cifar100.log &
# nohup python -u cli.py train -r 10 adam --lr 0.01 s-cifar10 --epochs 50 metrics -d icarl -m 1000 &> cifar10.log &
# nohup python -u cli.py train -r 10 adam --lr 0.01 s-fmnist --epochs 20 metrics -d icarl -m 1000 &> fmnist.log &
# nohup python -u cli.py train -r 5 adam --lr 0.01 s-core50 --mini --epochs 2 metrics -d icarl -m 1000 &> core50.log &
# nohup python -u cli.py train -r 2 adam --lr 0.001 s-cifar100 --epochs 100 metrics -d icarl -m 1000 --embedding ResNet18 &> se-cifar100.log &
# nohup python -u cli.py train -r 3 adam --lr 0.001 s-core50 --epochs 2 metrics -d icarl -m 1000 --embedding ResNet18 &> se-core50.log &
# ",,,,,,,,,,,
,S-FMNIST,,S-CIFAR10,,S-CIFAR100,,S-CORe50,,SE-CIFAR100,,SE-CORe50
2022-12-09_13:42:13_e85d8d9_-r_10_adam_--lr_0.01_s-fmnist_--epochs_20_metrics_-d_icarl_-m_1000,0.7537,2022-12-09_11:58:36_e85d8d9_-r_10_adam_--lr_0.01_s-cifar10_--epochs_50_metrics_-d_icarl_-m_1000,0.6381,2022-12-09_16:16:42_e85d8d9_-r_10_adam_--lr_0.01_s-cifar100_--epochs_100_metrics_-d_icarl_-m_1000,0.403,,0.14,,0.454,,0.493
2022-12-09_11:19:24_e85d8d9_-r_10_adam_--lr_0.01_s-fmnist_--epochs_20_metrics_-d_icarl_-m_1000,0.7303,2022-12-09_15:25:42_e85d8d9_-r_10_adam_--lr_0.01_s-cifar10_--epochs_50_metrics_-d_icarl_-m_1000,0.594,2022-12-09_20:32:24_e85d8d9_-r_10_adam_--lr_0.01_s-cifar100_--epochs_100_metrics_-d_icarl_-m_1000,0.415,2023-01-07_21:14:04_19190a1_-r_3_adam_--lr_0.001_s-core50_--mini_--epochs_2_metrics_-d_icarl_-m_1000,0.13,2023-01-07_21:09:35_19190a1_-r_3_adam_--lr_0.001_s-cifar100_--epochs_100_metrics_-d_icarl_-m_1000_--embedding_ResNet18,0.4643,2023-01-08_08:20:14_19190a1_-r_3_adam_--lr_0.001_s-core50_--epochs_2_metrics_-d_icarl_-m_1000_--embedding_ResNet18,0.516
2022-12-09_13:10:42_e85d8d9_-r_10_adam_--lr_0.01_s-fmnist_--epochs_20_metrics_-d_icarl_-m_1000,0.6677,2022-12-09_13:27:26_e85d8d9_-r_10_adam_--lr_0.01_s-cifar10_--epochs_50_metrics_-d_icarl_-m_1000,0.6715,2022-12-09_18:24:34_e85d8d9_-r_10_adam_--lr_0.01_s-cifar100_--epochs_100_metrics_-d_icarl_-m_1000,0.4046,2023-01-07_21:16:48_19190a1_-r_3_adam_--lr_0.001_s-core50_--mini_--epochs_2_metrics_-d_icarl_-m_1000,0.16,2023-01-07_23:03:03_19190a1_-r_3_adam_--lr_0.001_s-cifar100_--epochs_100_metrics_-d_icarl_-m_1000_--embedding_ResNet18,0.4484,2023-01-08_14:57:43_19190a1_-r_3_adam_--lr_0.001_s-core50_--epochs_2_metrics_-d_icarl_-m_1000_--embedding_ResNet18,0.526
2022-12-09_12:13:58_e85d8d9_-r_10_adam_--lr_0.01_s-fmnist_--epochs_20_metrics_-d_icarl_-m_1000,0.7207,2022-12-09_14:26:33_e85d8d9_-r_10_adam_--lr_0.01_s-cifar10_--epochs_50_metrics_-d_icarl_-m_1000,0.5927,2022-12-09_13:05:00_e85d8d9_-r_10_adam_--lr_0.01_s-cifar100_--epochs_100_metrics_-d_icarl_-m_1000,0.4119,2023-01-07_20:45:23_19190a1_-r_3_adam_--lr_0.001_s-core50_--mini_--epochs_2_metrics_-d_icarl_-m_1000,0.14,2023-01-07_21:28:20_19190a1_-r_3_adam_--lr_0.001_s-cifar100_--epochs_100_metrics_-d_icarl_-m_1000_--embedding_ResNet18,0.457,2023-01-08_03:08:39_19190a1_-r_3_adam_--lr_0.001_s-core50_--epochs_2_metrics_-d_icarl_-m_1000_--embedding_ResNet18,0.510
2022-12-09_13:22:50_e85d8d9_-r_10_adam_--lr_0.01_s-fmnist_--epochs_20_metrics_-d_icarl_-m_1000,0.7046,2022-12-09_14:56:06_e85d8d9_-r_10_adam_--lr_0.01_s-cifar10_--epochs_50_metrics_-d_icarl_-m_1000,0.6224,2022-12-09_19:28:27_e85d8d9_-r_10_adam_--lr_0.01_s-cifar100_--epochs_100_metrics_-d_icarl_-m_1000,0.4012,2023-01-07_21:01:40_19190a1_-r_3_adam_--lr_0.001_s-core50_--mini_--epochs_2_metrics_-d_icarl_-m_1000,0.15,2023-01-07_21:31:10_19190a1_-r_3_adam_--lr_0.001_s-cifar100_--epochs_100_metrics_-d_icarl_-m_1000_--embedding_ResNet18,0.4528,2023-01-08_02:49:56_19190a1_-r_3_adam_--lr_0.001_s-core50_--epochs_2_metrics_-d_icarl_-m_1000_--embedding_ResNet18,0.528
2022-12-09_11:35:48_e85d8d9_-r_10_adam_--lr_0.01_s-fmnist_--epochs_20_metrics_-d_icarl_-m_1000,0.6702,2022-12-09_11:28:58_e85d8d9_-r_10_adam_--lr_0.01_s-cifar10_--epochs_50_metrics_-d_icarl_-m_1000,0.5963,2022-12-09_12:01:07_e85d8d9_-r_10_adam_--lr_0.01_s-cifar100_--epochs_100_metrics_-d_icarl_-m_1000,0.426,2023-01-07_20:53:45_19190a1_-r_3_adam_--lr_0.001_s-core50_--mini_--epochs_2_metrics_-d_icarl_-m_1000,0.10,2023-01-08_04:47:28_19190a1_-r_3_adam_--lr_0.001_s-cifar100_--epochs_100_metrics_-d_icarl_-m_1000_--embedding_ResNet18,0.4476,2023-01-08_14:31:58_19190a1_-r_3_adam_--lr_0.001_s-core50_--epochs_2_metrics_-d_icarl_-m_1000_--embedding_ResNet18,0.515
2022-12-09_12:52:06_e85d8d9_-r_10_adam_--lr_0.01_s-fmnist_--epochs_20_metrics_-d_icarl_-m_1000,0.7769,2022-12-09_12:57:50_e85d8d9_-r_10_adam_--lr_0.01_s-cifar10_--epochs_50_metrics_-d_icarl_-m_1000,0.6676,2022-12-09_10:57:13_e85d8d9_-r_10_adam_--lr_0.01_s-cifar100_--epochs_100_metrics_-d_icarl_-m_1000,0.4049,2023-01-07_21:02:27_19190a1_-r_3_adam_--lr_0.001_s-core50_--mini_--epochs_2_metrics_-d_icarl_-m_1000,0.09,2023-01-08_01:09:03_19190a1_-r_3_adam_--lr_0.001_s-cifar100_--epochs_100_metrics_-d_icarl_-m_1000_--embedding_ResNet18,0.4547,2023-01-08_14:31:56_19190a1_-r_3_adam_--lr_0.001_s-core50_--epochs_2_metrics_-d_icarl_-m_1000_--embedding_ResNet18,0.512
2022-12-09_11:00:21_e85d8d9_-r_10_adam_--lr_0.01_s-fmnist_--epochs_20_metrics_-d_icarl_-m_1000,0.6862,2022-12-09_12:28:11_e85d8d9_-r_10_adam_--lr_0.01_s-cifar10_--epochs_50_metrics_-d_icarl_-m_1000,0.6514,2022-12-09_17:20:39_e85d8d9_-r_10_adam_--lr_0.01_s-cifar100_--epochs_100_metrics_-d_icarl_-m_1000,0.4032,2023-01-07_20:45:49_19190a1_-r_3_adam_--lr_0.001_s-core50_--mini_--epochs_2_metrics_-d_icarl_-m_1000,0.13,2023-01-08_00:56:27_19190a1_-r_3_adam_--lr_0.001_s-cifar100_--epochs_100_metrics_-d_icarl_-m_1000_--embedding_ResNet18,0.4471,2023-01-08_15:23:06_19190a1_-r_3_adam_--lr_0.001_s-core50_--epochs_2_metrics_-d_icarl_-m_1000_--embedding_ResNet18,0.521
2022-12-09_11:54:58_e85d8d9_-r_10_adam_--lr_0.01_s-fmnist_--epochs_20_metrics_-d_icarl_-m_1000,0.7065,2022-12-09_10:59:24_e85d8d9_-r_10_adam_--lr_0.01_s-cifar10_--epochs_50_metrics_-d_icarl_-m_1000,0.6095,2022-12-09_14:08:55_e85d8d9_-r_10_adam_--lr_0.01_s-cifar100_--epochs_100_metrics_-d_icarl_-m_1000,0.3997,2023-01-07_20:48:01_19190a1_-r_3_adam_--lr_0.001_s-core50_--mini_--epochs_2_metrics_-d_icarl_-m_1000,0.11,2023-01-08_04:43:17_19190a1_-r_3_adam_--lr_0.001_s-cifar100_--epochs_100_metrics_-d_icarl_-m_1000_--embedding_ResNet18,0.4609,2023-01-08_03:27:24_19190a1_-r_3_adam_--lr_0.001_s-core50_--epochs_2_metrics_-d_icarl_-m_1000_--embedding_ResNet18,0.516
2022-12-09_12:33:04_e85d8d9_-r_10_adam_--lr_0.01_s-fmnist_--epochs_20_metrics_-d_icarl_-m_1000,0.7217,2022-12-09_13:56:59_e85d8d9_-r_10_adam_--lr_0.01_s-cifar10_--epochs_50_metrics_-d_icarl_-m_1000,0.6269,2022-12-09_15:12:49_e85d8d9_-r_10_adam_--lr_0.01_s-cifar100_--epochs_100_metrics_-d_icarl_-m_1000,0.4073,2023-01-07_20:59:39_19190a1_-r_3_adam_--lr_0.001_s-core50_--mini_--epochs_2_metrics_-d_icarl_-m_1000,0.12,2023-01-08_01:05:13_19190a1_-r_3_adam_--lr_0.001_s-cifar100_--epochs_100_metrics_-d_icarl_-m_1000_--embedding_ResNet18,0.4509,2023-01-08_08:23:05_19190a1_-r_3_adam_--lr_0.001_s-core50_--epochs_2_metrics_-d_icarl_-m_1000_--embedding_ResNet18,0.516
