# "Split and Bridge. 
# Repo: https://github.com/tachyonicClock/Split-and-Bridge
# 
# python3 main.py --dataset FMNIST   --trainer split --base-classes 2  --step-size 2  --lr 0.01 --batch-size 64 --memory-budget 1000  --nepochs 20  --name S_FMNIST   > logs/S-FMNIST.log
# python3 main.py --dataset CIFAR10  --trainer split --base-classes 2  --step-size 2  --lr 0.01 --batch-size 64 --memory-budget 1000  --nepochs 50  --name S_CIFAR10  > logs/S-CIFAR10.log
# python3 main.py --dataset CIFAR100 --trainer split --base-classes 10 --step-size 10 --lr 0.01 --batch-size 64 --memory-budget 1000  --nepochs 100 --name S_CIFAR100 > logs/S-CIFAR100.log
# python3 main.py --dataset CORE50   --trainer split --base-classes 5  --step-size 5  --lr 0.01 --batch-size 64 --memory-budget 1000  --nepochs 10  --name S_CORE50   > logs/S-CORe50
# 
# 
# Kim, J.-Y., & Choi, D.-W. (2021). Split-and-Bridge: Adaptable Class Incremental Learning within a Single Neural Network (arXiv:2107.01349). arXiv. http://arxiv.org/abs/2107.01349
# ",,,,,
Run,S-FMNIST,S-CIFAR10,S-CIFAR100,S-CORe50-M,S-CORe50
0,0.8664,0.7379,0.4807,0.1548,0.1548
1,0.8672,0.7502,0.4814,0.1354,0.1354
2,0.8778,0.7952,0.481,0.1693,0.1693
3,0.8398,0.7565,0.4925,0.1548,0.1548
4,0.884,0.7251,0.473,0.1695,0.1695
5,0.8603,0.7655,0.4869,0.1636,0.1636
6,0.8682,0.7704,0.482,0.1488,0.1488
7,0.8573,0.7597,0.4864,0.1948,0.1948
8,0.8595,0.7441,0.4807,0.1573,0.1573
9,0.8695,0.7867,0.4828,0.1663,0.1663
