,dataset,architecture,strategy,experiment_category,id,repo_hash,loss,final_accuracy,batch_size,classifier_loss_weight,dataset_name,deep_generative_type,device,embedding_module,fixed_class_order,input_shape,is_image_data,latent_dims,learning_rate,n_experiences,name,network_architecture,prune_proportion,recon_loss_type,reconstruction_loss_weight,retrain_epochs,total_task_epochs,use_classifier_loss,use_packnet,use_reconstruction_loss,use_vae_loss,vae_loss_weight,task_inference_strategy,vanilla_cnn_config,rectangular_mlp_config
0,splitEmbeddedCIFAR100,VAE,cumulative,N,0058,dd88ddf,1.014315128326416,0.31380000710487366,64.0,1.0,CIFAR100,VAE,cuda,ResNet18,True,512,False,64.0,0.0001,1.0,splitEmbeddedCIFAR100_VAE_cumulative,rectangular_network,0.7,mse,1.0,5.0,20.0,True,False,True,True,0.001,,,
1,splitEmbeddedCIFAR100,AE,taskInference,N,0083,dd88ddf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,splitCORe50,VAE,taskInference,N,0046,dd88ddf,1.8032320737838745,0.05309970676898956,64.0,1.0,CORe50_NC,VAE,cuda,,True,"[3, 128, 128]",True,526.0,0.0001,10.0,splitCORe50_VAE_taskInference,residual_network,0.5,,1.0,1.0,4.0,True,True,True,True,0.001,task_reconstruction_loss,{'base_channels': 128},
3,splitCORe50,VAE,finetuning,N,0030,dd88ddf,0.23960508406162262,0.07506892830133438,64.0,1.0,CORe50_NC,VAE,cuda,,True,"[3, 128, 128]",True,526.0,0.0001,10.0,splitCORe50_VAE_finetuning,residual_network,,,1.0,1.0,4.0,True,False,True,True,0.001,,{'base_channels': 128},
4,splitEmbeddedCIFAR100,AE,taskInference,N,0077,dd88ddf,1.4017610549926758,0.4068000018596649,64.0,1.0,CIFAR100,AE,cuda,ResNet18,True,2048,False,128.0,0.0001,10.0,splitEmbeddedCIFAR100_AE_taskInference,rectangular_network,0.7,mse,1.0,5.0,20.0,True,True,True,False,,task_reconstruction_loss,,"{'depth': 4, 'width': 512}"
5,splitCIFAR10,AE,taskInference,EP,0143,dd88ddf,,0.4302999973297119,64.0,1.0,CIFAR10,AE,cuda,None,True,"[3, 32, 32]",True,64.0,0.0001,5.0,EP_splitCIFAR10_AE_taskInference,residual,"[0.8333333333333334, 0.6666666666666667, 0.5000000000000001, 0.3333333333333335, 0.16666666666666685, 2.220446049250313e-16]",bce,1.0,10.0,50.0,True,True,True,False,0.001,task_reconstruction_loss,,
6,splitEmbeddedCIFAR100,VAE,finetuning,N,0064,dd88ddf,0.1902931034564972,0.07760000228881836,64.0,1.0,CIFAR100,VAE,cuda,ResNet18,True,512,False,64.0,0.0001,10.0,splitEmbeddedCIFAR100_VAE_finetuning,rectangular_network,0.7,mse,1.0,10.0,50.0,True,False,True,True,0.001,,,
7,splitFMNIST,VAE,taskInference,EP,0146,dd88ddf,,0.9929999709129333,64.0,1.0,FMNIST,VAE,cuda,None,True,"[1, 32, 32]",True,64.0,0.0001,5.0,EP_splitFMNIST_VAE_taskInference,vanilla_cnn,"[0.8333333333333334, 0.6666666666666667, 0.5000000000000001, 0.3333333333333335, 0.16666666666666685, 2.220446049250313e-16]",bce,1.0,5.0,20.0,True,True,True,True,0.001,task_reconstruction_loss,,
8,splitEmbeddedCIFAR100,AE,taskInference,N,0092,dd88ddf,2.5131449699401855,0.7885000109672546,64.0,1.0,CIFAR100,AE,cuda,ResNet18,True,2048,False,64.0,0.0001,10.0,splitEmbeddedCIFAR100_AE_taskInference,rectangular,0.5,mse,1.0,25.0,100.0,True,True,True,False,,task_reconstruction_loss,,
9,splitEmbeddedCORe50,VAE,cumulative,N,0110,dd88ddf,,0.7593169212341309,64.0,1.0,CORe50_NC,VAE,cuda,ResNet50,True,2048,False,512.0,0.0001,1.0,splitEmbeddedCORe50_VAE_cumulative,rectangular,0.5,mse,1.0,3.0,10.0,True,False,True,True,0.001,,,
